ZIP,Total,CM,Pantry,Volunteer,Area,,,,,,,,
19358,0,0,0,0,E,,,,,,,,
19335,0,0,0,0,E,,,,,,,,
19320,5,5,0,0,E,,,,,,,,
19450,5,5,0,0,D,,,,,,,,
19473,5,5,0,0,D,,,,,,,,
19492,0,0,0,0,D,,,,,,,,
18964,0,0,0,0,D,,,,,,,,
18969,0,0,0,0,D,,,,,,,,
19426,0,0,0,0,D,,,,,,,,
19040,5,5,5,0,C,,,,,,,,
19044,0,0,0,0,C,,,,,,,,
19090,0,0,0,0,C,,,,,,,,
10130,5,0,5,0,B,,,,,,,,
19018,5,0,5,0,B,,,,,,,,
19050,5,5,5,0,B,,,,,,,,
19070,5,5,5,0,B,,,,,,,,
19082,5,5,5,0,B,,,,,,,,
19095,5,0,5,0,B,,,,,,,,
19123,5,5,5,0,B,,,,,,,,
19131,5,5,5,0,B,,,,,,,,
19140,5,0,5,0,B,,,,,,,,
19141,5,0,5,0,B,,,,,,,,
19151,5,5,5,0,B,,,,,,,,
19149,5,0,5,0,B,,,,,,,,
19152,5,5,5,0,B,,,,,,,,
19139,0,0,0,0,B,,,,,,,,
19143,0,0,0,0,B,,,,,,,,
19023,0,0,0,0,B,,,,,,,,
19142,0,0,0,0,B,,,,,,,,
19043,0,0,0,0,B,,,,,,,,
19121,0,0,0,0,B,,,,,,,,
19129,0,0,0,0,B,,,,,,,,
19132,0,0,0,0,B,,,,,,,,
19104,0,0,0,0,B,,,,,,,,
19122,0,0,0,0,B,,,,,,,,
19133,0,0,0,0,B,,,,,,,,
19003,228,188,178,61,A,,,,,,,,
19010,129,87,98,25,A,,,,,,,,
19096,79,67,19,34,A,,,,,,,,
19072,41,31,14,16,A,,,,,,,,
19004,29,26,16,0,A,,,,,,,,
19041,19,15,12,0,A,,,,,,,,
19073,5,0,5,0,A,,,,,,,,
19087,5,5,5,0,A,,,,,,,,
19333,5,0,5,0,A,,,,,,,,
19401,5,5,5,0,A,,,,,,,,
19405,5,5,5,0,A,,,,,,,,
19406,5,5,5,0,A,,,,,,,,
19035,0,0,0,0,A,,,,,,,,
19085,0,0,0,0,A,,,,,,,,
19428,0,0,0,0,A,,,,,,,,
19462,0,0,0,0,A,,,,,,,,
19312,0,0,0,0,A,,,,,,,,B
19008,0,0,0,0,A,,,,,,,,
19403,0,0,0,0,A,,,,,,,,
19422,0,0,0,0,A,,,,,,,,
19355,0,0,0,0,A,,,,,,,,
19342,0,0,0,0,A,,,,,,,,
19066,5,5,5,0,A,,,,,,,,
19083,5,5,5,0,A,,,,,,,,
19085,5,5,0,0,A,,,,,,,,
19063,0,0,0,0,A,,,,,,,,
NA,59,41,37,5,,,,,,,,,
19005,5,5,0,0,,,,,,,,,
