city_geoid,city_name,GEOID,county_name,ZCTA5
4208568,Bridgeport,42091,Montgomery County,19405
4208568,Bridgeport,42091,Montgomery County,19406
4209696,Bryn Athyn,42091,Montgomery County,19006
4209696,Bryn Athyn,42091,Montgomery County,19009
4215848,Conshohocken,42091,Montgomery County,19428
4221200,East Greenville,42091,Montgomery County,18041
4233112,Hatfield,42091,Montgomery County,19440
4241432,Lansdale,42091,Montgomery County,19446
4254656,Norristown,42091,Montgomery County,19401
4254656,Norristown,42091,Montgomery County,19403
4254656,Norristown,42091,Montgomery County,19462
4255512,North Wales,42091,Montgomery County,19454
4259120,Pennsburg,42091,Montgomery County,18073
4276304,Telford,42091,Montgomery County,18964
4276304,Telford,42091,Montgomery County,18969
4238000,Jenkintown,42091,Montgomery County,19046
4202264,Ambler,42091,Montgomery County,19002
4215192,Collegeville,42091,Montgomery County,19426
4231088,Green Lane,42091,Montgomery County,18054
4233088,Hatboro,42091,Montgomery County,19040
4263808,Red Hill,42091,Montgomery County,18076
4277304,Trappe,42091,Montgomery County,19426
4271856,Souderton,42091,Montgomery County,18964
4262416,Pottstown,42091,Montgomery County,19464
4265568,Rockledge,42091,Montgomery County,19046
4266576,Royersford,42091,Montgomery County,19468
4268328,Schwenksville,42091,Montgomery County,19473
4282736,West Conshohocken,42091,Montgomery County,19428
4252664,Narberth,42091,Montgomery County,19066
4252664,Narberth,42091,Montgomery County,19072
4252664,Narberth,42091,Montgomery County,19096
4202826,Arcadia University,42091,Montgomery County,19038
4202896,Ardmore,42091,Montgomery County,19003
4202896,Ardmore,42091,Montgomery County,19083
4202896,Ardmore,42091,Montgomery County,19096
4203544,Audubon,42091,Montgomery County,19403
4203544,Audubon,42091,Montgomery County,19460
4203895,Bala Cynwyd,42091,Montgomery County,NA
4207224,Blue Bell,42091,Montgomery County,19422
4207224,Blue Bell,42091,Montgomery County,19462
4209728,Bryn Mawr,42091,Montgomery County,19010
4209728,Bryn Mawr,42091,Montgomery County,19041
4212973,Cheltenham Village,42091,Montgomery County,NA
4220672,Eagleville,42091,Montgomery County,19403
4220672,Eagleville,42091,Montgomery County,19426
4223128,Elkins Park,42091,Montgomery County,NA
4224240,Evansburg,42091,Montgomery County,19426
4226376,Flourtown,42091,Montgomery County,19031
4226376,Flourtown,42091,Montgomery County,19038
4226872,Fort Washington,42091,Montgomery County,19002
4226872,Fort Washington,42091,Montgomery County,19025
4226872,Fort Washington,42091,Montgomery County,19034
4229096,Gilbertsville,42091,Montgomery County,19512
4229096,Gilbertsville,42091,Montgomery County,19525
4229808,Glenside,42091,Montgomery County,19038
4229808,Glenside,42091,Montgomery County,19046
4229808,Glenside,42091,Montgomery County,19095
4232024,Halfway House,42091,Montgomery County,19464
4232616,Harleysville,42091,Montgomery County,19438
4233154,Haverford College,42091,Montgomery County,19003
4233154,Haverford College,42091,Montgomery County,19041
4235800,Horsham,42091,Montgomery County,19040
4235800,Horsham,42091,Montgomery County,19044
4239736,King of Prussia,42091,Montgomery County,19087
4239736,King of Prussia,42091,Montgomery County,19406
4240608,Kulpsville,42091,Montgomery County,19438
4240608,Kulpsville,42091,Montgomery County,19446
4246280,McKinley,42091,Montgomery County,NA
4247152,Maple Glen,42091,Montgomery County,19002
4247152,Maple Glen,42091,Montgomery County,19044
4248768,Merion Station,42091,Montgomery County,NA
4250560,Mont Clare,42091,Montgomery County,NA
4250672,Montgomeryville,42091,Montgomery County,18915
4250672,Montgomeryville,42091,Montgomery County,18936
4250672,Montgomeryville,42091,Montgomery County,19446
4250672,Montgomeryville,42091,Montgomery County,19454
4257024,Oreland,42091,Montgomery County,19025
4257024,Oreland,42091,Montgomery County,19038
4257024,Oreland,42091,Montgomery County,19075
4259312,Penn Wynne,42091,Montgomery County,19083
4259312,Penn Wynne,42091,Montgomery County,19096
4261688,Plymouth Meeting,42091,Montgomery County,19428
4261688,Plymouth Meeting,42091,Montgomery County,19462
4262396,Pottsgrove,42091,Montgomery County,19464
4266144,Rosemont,42091,Montgomery County,NA
4266256,Roslyn,42091,Montgomery County,NA
4267712,Sanatoga,42091,Montgomery County,19464
4271008,Skippack,42091,Montgomery County,19426
4271008,Skippack,42091,Montgomery County,19438
4271008,Skippack,42091,Montgomery County,19473
4271008,Skippack,42091,Montgomery County,19474
4273264,Spring House,42091,Montgomery County,19002
4273264,Spring House,42091,Montgomery County,19477
4273312,Spring Mount,42091,Montgomery County,19473
4274660,Stowe,42091,Montgomery County,19464
4275712,Swedeland,42091,Montgomery County,NA
4277520,Trooper,42091,Montgomery County,19403
4280248,Villanova,42091,Montgomery County,NA
4285408,Willow Grove,42091,Montgomery County,19001
4285408,Willow Grove,42091,Montgomery County,19006
4285408,Willow Grove,42091,Montgomery County,19040
4285408,Willow Grove,42091,Montgomery County,19090
4286576,Woxall,42091,Montgomery County,19438
4286744,Wyncote,42091,Montgomery County,19095
4286776,Wyndmoor,42091,Montgomery County,19038
4286776,Wyndmoor,42091,Montgomery County,19150
